"a","Freq"
"phosphorylation [GO:0016310]",2
"glycolytic process [GO:0006096]",1
"positive regulation of transcription by RNA polymerase II [GO:0045944]",1
"regulation of transcription by RNA polymerase II [GO:0006357]",1
