"a","Freq"
"cellulase activity [GO:0008810]",2
"calcium ion binding [GO:0005509]",1
"carbohydrate binding [GO:0030246]",1
"glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]",1
"hexosyltransferase activity [GO:0016758]",1
"manganese ion binding [GO:0030145]",1
"metal ion binding [GO:0046872]",1
"pectate lyase activity [GO:0030570]",1
"ribulose-bisphosphate carboxylase activity [GO:0016984]",1
