"a","Freq"
"membrane [GO:0016020]",14
"plasma membrane [GO:0005886]",4
"extracellular region [GO:0005576]",3
"apoplast [GO:0048046]",2
"chloroplast [GO:0009507]",2
"cytosol [GO:0005829]",2
"nucleus [GO:0005634]",2
"caveola [GO:0005901]",1
"exocyst [GO:0000145]",1
"Golgi membrane [GO:0000139]",1
"MICOS complex [GO:0061617]",1
"plasma membrane raft [GO:0044853]",1
"signal peptidase complex [GO:0005787]",1
