"a","Freq"
"anatomical structure morphogenesis [GO:0009653]",3
"cellulose catabolic process [GO:0030245]",2
"plant-type cell wall organization [GO:0009664]",2
"carbohydrate metabolic process [GO:0005975]",1
"pectin catabolic process [GO:0045490]",1
"photorespiration [GO:0009853]",1
"protein glycosylation [GO:0006486]",1
"reductive pentose-phosphate cycle [GO:0019253]",1
"sexual reproduction [GO:0019953]",1
